doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,error,new_keys,new_reasoning,result
10.1002/jae.3021,Does paid parental leave affect children's schooling outcomes? Replicating Danzer and Lavy (2018),10.1111/ecoj.12493,Paid Parental Leave and Children's Schooling Outcomes,control,agrees_with_mo,"[""Paid parental leave and children's schooling outcomes""]",['10.1111/ecoj.12493'],@danzer2017,gpt-5.6-luna,@danzer2017,,['@danzer2017'],The title explicitly identifies the Danzer and Lavy study as the replication target; the other cited works are not described as being re-tested.,same as old
10.3389/fendo.2020.00231,Avoidance Learning Across the Menstrual Cycle: A Conceptual Replication,10.1016/j.neuropsychologia.2015.10.016,Menstrual cycle phase modulates reward sensitivity and performance monitoring in young women: Preliminary fMRI evidence,control,agrees_with_mo,['Menstrual cycle phase modulates reward sensitivity and performance monitoring in young women: preliminary FMRI evidence'],['10.1016/j.neuropsychologia.2015.10.016'],@diekhof2015,gpt-5.6-luna,@diekhof2015,,[],"The paper explicitly identifies Diekhof and Ratnayake (2016) as the finding it conceptually replicates; the supplied matching list contains no record that matches that citation, and the other cited works are not identified as re-tested.",declines
10.1371/journal.pone.0233948,The President’s Emergency Plan for AIDS Relief and adult mortality: A replication study of HIV development assistance effects in Sub-Saharan African countries,10.1001/jama.2012.2001,HIV Development Assistance and Adult Mortality in Africa,control,agrees_with_mo,"['HIV development assistance and adult mortality in Africa', 'HIV development assistance and adult mortality in Africa']","['10.1001/jama.2012.2001', '10.1001/jama.2012.2001']",@bendavid2012,gpt-5.6-luna,@bendavid2012,,['@bendavid2012'],"The paper explicitly says it replicated Bendavid’s study; it discusses Duber’s study as the contrasting result and applies Bendavid’s data and methodology to Duber’s time period, rather than stating that it re-tests Duber’s study itself.",same as old
10.18632/oncotarget.9422,NEURL rs6584555 and CAND2 rs4642101 contribute to postoperative atrial fibrillation: a prospective study among Chinese population,10.1161/circulationaha.114.009892,"Integrating Genetic, Transcriptional, and Functional Analyses to Identify 5 Novel Genes for Atrial Fibrillation",control,agrees_with_mo,"['Integrating genetic, transcriptional, and functional analyses to identify 5 novel genes for atrial fibrillation']",['10.1161/circulationaha.114.009892'],@sinner2014,gpt-5.6-luna,@sinner2014,,['@sinner2014'],"The paper says it evaluates and replicates prior findings about five novel atrial-fibrillation loci, uniquely matching Sinner et al. (2014); its other listed references are not identified as findings re-tested here.",same as old
10.1002/art.30604,A putative functional variant within the <i>UBAC2</i> gene is associated with increased risk of Behçet's disease,10.1186/ar2695,Identification of novel genetic susceptibility loci for Behçet's disease using a genome-wide association study,control,agrees_with_mo,"[""Identification of novel genetic susceptibility loci for Behcet's disease using a genome-wide association study""]",['10.1186/ar2695'],@fei2009,gpt-5.6-luna,@fei2009,,['@fei2009'],"The paper explicitly says it replicated the previously identified UBAC2 association, which matches Fei et al. (2009); the other listed works are not identified as the source of that association being re-tested.",same as old
10.1177/1747021820980301,"Stimulus novelty, task demands, and strategy use in episodic memory",10.1016/j.actpsy.2020.103211,Spontaneous strategy use during a working memory updating task,control,agrees_with_mo,['Spontaneous strategy use during a working memory updating task'],['10.1016/j.actpsy.2020.103211'],@waris2020,gpt-5.6-luna,@waris2020,,['@waris2020'],"The abstract explicitly identifies a replication of earlier findings from an adaptive working memory task, matching Waris et al. (2020); the other cited works are not presented as findings this paper re-tests.",same as old
10.1111/j.1476-5381.2009.00584.x,Lack of effect of the α<sub>2C</sub>‐adrenoceptor Del322‐325 polymorphism on inhibition of cyclic AMP production in HEK293 cells,10.1074/jbc.m000796200,A Four Amino Acid Deletion Polymorphism in the Third Intracellular Loop of the Human α2C-Adrenergic Receptor Confers Impaired Coupling to Multiple Effectors,control,agrees_with_mo,['A four amino acid deletion polymorphism in the third intracellular loop of the human alpha 2C-adrenergic receptor confers impaired coupling to multiple effectors'],['10.1074/jbc.m000796200'],@small2000,gpt-5.6-luna,@small2000,,['@small2000'],"The paper explicitly says it attempted to replicate the reduced-signalling finding, which matches Small et al. (2000); the other cited works are not identified as findings re-tested here.",same as old
10.1371/journal.pone.0114614,Replication Attempt: “Effect of BMAP-28 Antimicrobial Peptides on Leishmania Major Promastigote and Amastigote Growth: Role of Leishmanolysin in Parasite Survival”,10.1371/journal.pntd.0001141,Effect of BMAP-28 Antimicrobial Peptides on Leishmania major Promastigote and Amastigote Growth: Role of Leishmanolysin in Parasite Survival,control,agrees_with_mo,['Effect of BMAP-28 antimicrobial peptides on Leishmania major promastigote and amastigote growth: role of leishmanolysin in parasite survival'],['10.1371/journal.pntd.0001141'],@lynn2011,gpt-5.4-mini,@lynn2011,,['@lynn2011'],The abstract explicitly identifies the Lynn et al. paper as the replication target; the other cited works are not identified as findings being retested.,same as old
10.1016/j.biopsycho.2021.108188,To spindle or not to spindle: A replication study into spindling excessive beta as a transdiagnostic EEG feature associated with impulse control,10.1186/s40810-015-0005-9,"Sleep maintenance, spindling excessive beta and impulse control: an RDoC arousal and regulatory systems approach?",control,agrees_with_mo,"['Sleep maintenance, spindling excessive beta and impulse control: An RDoC arousal and regulatory systems approach?', 'Sleep maintenance, spindling excessive beta and impulse control: An RDoC arousal and regulatory systems approach?']","['10.1186/s40810-015-0005-9', '10.1186/s40810-015-0005-9']",@arns2015b,gpt-5.6-luna,@arns2015b,,['@arns2015b'],"The paper explicitly describes its aim as replicating the earlier SEB findings, and the listed Arns et al. (2015) paper on sleep maintenance, spindling excessive beta, and impulse control is the matching target; other references are not identified as findings re-tested here.",same as old
10.1007/s40264-014-0138-y,Exposure to Oral Fluoroquinolones and the Risk of Retinal Detachment: Retrospective Analyses of Two Large Healthcare Databases,10.1001/jama.2012.383,Oral Fluoroquinolones and the Risk of Retinal Detachment,control,agrees_with_mo,['Oral fluoroquinolones and the risk of retinal detachment'],['10.1001/jama.2012.383'],@forooghian2012,gpt-5.6-luna,@forooghian2012,,[],"The paper explicitly re-tests the recent Canadian case-control finding, but the supplied text does not identify its authors or title well enough to distinguish among the listed records.",declines
10.1007/s00221-023-06688-5,Temporal adaptation of sensory attenuation for self-touch,10.7554/elife.42888,Rapid learning and unlearning of predicted sensory delays in self-generated touch,control,agrees_with_mo,['Rapid learning and unlearning of predicted sensory delays in self-generated touch'],['10.7554/elife.42888'],@kilteni2019,gpt-5.6-luna,@kilteni2019,,['@kilteni2019'],Only Kilteni et al. (2019) is explicitly identified as a study this paper replicated; the other cited works are presented as background or context.,same as old
10.1002/ab.70042,The Question of Violent Video Games and Aggression: Testing Statistical and Methodological Issues of Null Effects Using Data From an Open‐Access Case Study,10.1098/rsos.171474,Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report,control,agrees_with_mo,"[""Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report""]",['10.1098/rsos.171474'],@przybylski2019,gpt-5.6-luna,@przybylski2019,,['@przybylski2019'],The paper explicitly re-examines Przybylski and Weinstein (2019); the other cited works are background or context rather than findings this paper says it re-tests.,same as old
10.1007/s00221-024-06846-3,The inhibitory effect of a recent distractor: singleton vs. multiple distractors,10.1016/j.visres.2005.07.024,The inhibitory effect of a recent distracter,control,agrees_with_mo,"['The inhibitory effect of a recent distractor', 'The inhibitory effect of a recent distractor', 'The inhibitory effect of a recent distractor']","['10.1016/j.visres.2005.07.024', '10.1016/j.visres.2005.07.024', '10.1016/j.visres.2005.07.024']",@crawford2005b,gpt-5.6-luna,,,['@crawford2005'],The abstract explicitly identifies Crawford et al. (2005a) as the source of the effect that Experiment 1 re-tests; other cited works are not presented as targets.,switches to another
10.1371/journal.pone.0171305,Mapping cerebral pulse pressure and arterial compliance over the adult lifespan with optical imaging,10.1111/psyp.12288,Taking the pulse of aging: Mapping pulse pressure and elasticity in cerebral arteries with optical methods,control,agrees_with_mo,"['Taking the pulse of aging: mapping pulse pressure and elasticity in cerebral arteries with optical methods', 'Taking the pulse of aging: mapping pulse pressure and elasticity in cerebral arteries with optical methods']","['10.1111/psyp.12288', '10.1111/psyp.12288']",@fabiani2014,gpt-5.6-luna,@fabiani2014,,['@fabiani2014'],"The abstract explicitly re-tests the initial optical-imaging findings, which match Fabiani et al. (2014), while the other listed references are not identified as findings this study re-tests.",same as old
10.1001/archoto.2009.219,"Association of IL1A, IL1B, and TNF Gene Polymorphisms With Chronic Rhinosinusitis With and Without Nasal Polyposis",10.1001/archotol.133.7.705,Proinflammatory Cytokine Single Nucleotide Polymorphisms in Nasal Polyposis,control,agrees_with_mo,"['Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis', 'Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis', 'Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis']","['10.1001/archotol.133.7.705', '10.1001/archotol.133.7.705', '10.1001/archotol.133.7.705']",@erbek2007,gpt-5.6-luna,@erbek2007,,['@erbek2007'],The Turkish-population cytokine-polymorphism findings match Erbek et al. (2007); the other cited works are not identified as the findings being re-tested.,same as old
10.7759/cureus.42194,"Neonatal, Infant, and Under Age Five Vaccine Doses Routinely Given in Developed Nations and Their Association With Mortality Rates",10.1177/0960327111407644,Infant mortality rates regressed against number of vaccine doses routinely given: Is there a biochemical or synergistic toxicity?,control,agrees_with_mo,['Infant mortality rates regressed against number of vaccine doses routinely given: is there a biochemical or synergistic toxicity?'],['10.1177/0960327111407644'],@miller2011,gpt-5.6-luna,@miller2011,,['@miller2011'],"The paper explicitly re-tests its own 2011 study, which matches Miller and Goldman (2011); its other cited works are not identified as findings re-tested here.",same as old
10.1080/036107399244020,Genetic and Environmental Influences on Forced Expiratory Volume in Midlife: A Cross-Cultural Replication,10.1093/geronj/49.6.m264,Genetic and Environmental Influences on Pulmonary Function in Aging Swedish Twins,control,agrees_with_mo,['Genetic and environmental influences on pulmonary function in aging Swedish twins'],['10.1093/geronj/49.6.m264'],@mcclearn1994,gpt-5.6-luna,@mcclearn1994,,['@mcclearn1994'],The abstract explicitly re-tests the Swedish-twin heritability finding matched to McClearn et al. (1994); the other listed works are not identified as findings re-tested by this paper.,same as old
10.1080/08964289.2016.1232241,Replication and Extension of the Weight Loss For Life Community-Based Treatment Protocol,10.7812/tpp/15-146,Weight Loss and the Prevention of Weight Regain: Evaluation of a Treatment Model of Exercise Self-Regulation Generalizing to Controlled Eating,control,agrees_with_mo,['Weight loss and the prevention of weight regain: evaluation of a treatment model of exercise self-regulation generalizing to controlled eating'],['10.7812/tpp/15-146'],@annesi2016,gpt-5.4-mini,@annesi2016,,['@annesi2016'],"The abstract explicitly calls the phase 2 treatment a replication and compares its weight-loss and maintenance outcomes with phase 1; Annesi et al. (2016) is the listed study matching that treatment model, while other cited works are not identified as re-tested.",same as old
10.1158/1055-9965.epi-11-0053,Prostate Cancer Susceptibility Polymorphism rs2660753 Is Not Associated with Invasive Ovarian Cancer,10.1158/0008-5472.can-08-2363,"Association Study of Prostate Cancer Susceptibility Variants with Risks of Invasive Ovarian, Breast, and Colorectal Cancer",control,agrees_with_mo,"['Association study of prostate cancer susceptibility variants with risks of invasive ovarian, breast, and colorectal cancer']",['10.1158/0008-5472.can-08-2363'],@song2008,gpt-5.6-luna,@song2008,,['@song2008'],"The paper explicitly re-tests its previously reported rs2660753–ovarian cancer association, which matches Song et al. (2008); the other listed works are not identified as the source of that association.",same as old
10.1002/aur.1857,Genetic background effects in Neuroligin‐3 mutant mice: Minimal behavioral abnormalities on C57 background,10.1126/science.1146221,A Neuroligin-3 Mutation Implicated in Autism Increases Inhibitory Synaptic Transmission in Mice,control,agrees_with_mo,"['A neuroligin-3 mutation implicated in autism increases inhibitory synaptic transmission in mice', 'A neuroligin-3 mutation implicated in autism increases inhibitory synaptic transmission in mice']","['10.1126/science.1146221', '10.1126/science.1146221']",@tabuchi2007,gpt-5.6-luna,@tabuchi2007,,['@tabuchi2007'],Tabuchi et al. (2007) is the cited source of the spatial-memory and social-interaction findings this paper says it did not reproduce; other cited works provide background or describe the discrepant mouse line rather than being identified as the finding re-tested.,same as old
10.1080/02699050600744194,Context-sensitive cognitive-behavioural supports for young children with TBI: A replication study,10.1097/00001199-200301000-00006,Context-Sensitive Behavioral Supports for Young Children with TBI,control,agrees_with_mo,['Context-sensitive behavioral supports for young children with TBI: Short-term effects and long-term outcome'],['10.1097/00001199-200301000-00006'],@feeney2003,gpt-5.6-luna,@feeney2003,,['@feeney2003'],The objective and matching title identify the Feeney and Ylvisaker intervention as the work being re-tested; the other listed works are not identified as replication targets.,same as old
10.1111/jpr.12581,Cultural Generalizability of the False Signaling Theory: A Replication Study Using a Japanese Sample,10.1177/0956797616685771,Why Do We Hate Hypocrites? Evidence for a Theory of False Signaling,control,agrees_with_mo,"['Why do we hate hypocrites? Evidence for a theory of false signaling', 'Why do we hate hypocrites? Evidence for a theory of false signaling']","['10.1177/0956797616685771', '10.1177/0956797616685771']",@jordan2017,gpt-5.6-luna,@jordan2017,,['@jordan2017'],"The abstract says it replicated two experiments testing the false signaling theory, which matches Jordan et al. (2017) in the reference list; other cited works are not identified as targets.",same as old
10.1111/jns.12110,Genetic determinants of chronic oxaliplatin‐induced peripheral neurotoxicity: a genome‐wide study replication and meta‐analysis,10.1002/cncr.26614,"Polymorphic markers associated with severe oxaliplatin‐induced, chronic peripheral neuropathy in colon cancer patients",control,agrees_with_mo,"['Polymorphic markers associated with severe oxaliplatin-induced, chronic peripheral neuropathy in colon cancer patients']",['10.1002/cncr.26614'],@won2011,gpt-5.6-luna,@won2011,,['@won2011'],"The paper explicitly says it validates genetic variants from a recent GWAS, which matches Won et al. (2011); the two other prior studies are mentioned as data included in the pooled analysis, not as separately identified findings being re-tested.",same as old
10.1186/s13148-022-01296-6,"Maternal epigenetic clocks measured during pregnancy do not predict gestational age at delivery or offspring birth outcomes: a replication study in metropolitan Cebu, Philippines",10.1186/s13148-020-00909-2,Epigenetic age and pregnancy outcomes: GrimAge acceleration is associated with shorter gestational length and lower birthweight,control,agrees_with_mo,['Epigenetic age and pregnancy outcomes: GrimAge acceleration is associated with shorter gestational length and lower birthweight'],['10.1186/s13148-020-00909-2'],@ross2020,gpt-5.6-luna,@ross2020,,['@ross2020'],"The paper says it re-tests analyses from a US-based sample, and Ross et al. is the listed study that reports maternal epigenetic age associations with both gestational length and birthweight; the other cited works are not identified as re-test targets.",same as old
10.1177/074823370001600604,The neurotoxic etiology of the autistic spectrum disorders: a replication study,10.1177/074823379801400603,Autism: Xenobiotic Influences,control,agrees_with_mo,['Autism: xenobiotic influences'],['10.1177/074823379801400603'],@edelson1998,gpt-5.6-luna,@edelson1998,,['@edelson1998'],The abstract explicitly identifies Edelson and Cantor (1998) as the study whose findings were tested; other listed works are not identified as replication targets.,same as old
10.1080/19439342.2019.1679860,Improving well-being through mobile money: a replication study in Niger,10.1086/687578,Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash Transfer Experiment in Niger,control,agrees_with_mo,['Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash Transfer Experiment in Niger'],['10.1086/687578'],@aker2016,gpt-5.4-mini,@aker2016,,['@aker2016'],"The abstract explicitly says the paper examines the original authors’ findings on Zap cash-transfer delivery in Niger, matching Aker et al. (2016); the other listed works are not identified as replication targets.",same as old
10.1038/s41598-020-57613-7,How odor cues help to optimize learning during sleep in a real life-setting,10.1126/science.1138581,Odor Cues During Slow-Wave Sleep Prompt Declarative Memory Consolidation,control,agrees_with_mo,['Odor cues during slow-wave sleep prompt declarative memory consolidation'],['10.1126/science.1138581'],@rasch2007,gpt-5.6-luna,@rasch2007,,['@rasch2007'],"The paper explicitly claims to replicate prior odor-cueing findings, and Rasch et al. (2007) is the listed study specifically reporting odor cues during slow-wave sleep; the other cited works are not identified as targets.",same as old
10.1002/ar.1091570205,A double replication of a “small‐sample” study of the sexual behavior of DBA/2J male mice,10.1163/156853962x00087,Sexual Behavior in Three Inbred Strains of Mice,control,agrees_with_mo,"['Sexual behavior in three inbred strains of mice', 'Sexual behavior in three inbred strains of mice']","['10.1163/156853962x00087', '10.1163/156853962x00087']",@mcgill1962,gpt-5.6-luna,@mcgill1962,,['@mcgill1962'],"The title identifies a double replication of one small-sample study, and McGill (1962) is the listed work matching the sexual-be behavior topic; the other references are statistics books.",same as old
10.1145/2676467.2676484,Replicating a study of collaborative use of mobile phones for photo sharing in a different cultural context,10.1145/1978942.1979201,Pass-them-around,control,agrees_with_mo,['Pass-them-around: collaborative use of mobile phones for photo sharing'],['10.1145/1978942.1979201'],@lucero2011,gpt-5.6-luna,,,['@lucero2011'],"The abstract identifies one replicated study about collaborative mobile photo sharing, which matches Lucero et al.'s Pass-them-around; the other listed works are not identified as findings this paper re-tests.",same as old
10.1080/00220388.2018.1506580,"Evidence of Behavioural Compensation in Internal Replication Study of Male Circumcision Trial to Reduce HIV Acquisition in Kisumu, Kenya",10.1016/s0140-6736(07)60312-2,"Male circumcision for HIV prevention in young men in Kisumu, Kenya: a randomised controlled trial",control,agrees_with_mo,"['Male circumcision for HIV prevention in young men in Kisumu, Kenya: a randomised controlled trial']",['10.1016/s0140-6736(07)60312-2'],@bailey2007,gpt-5.6-luna,@bailey2007,,['@bailey2007'],"The abstract explicitly says it replicated the Bailey trial, while the other cited works are not identified as findings this paper re-tests.",same as old
10.1002/ece3.71556,Non‐Native Herpetofauna Continue to Proliferate in the World's Most Invaded Herpetofauna Community,10.1007/s10530-019-01934-w,Non-native species dominate herpetofaunal community patterns in both native and non-native habitat patches in urban Miami-Dade County,control,agrees_with_mo,['Non-native species dominate herpetofaunal community patterns in both native and non-native habitat patches in urban Miami-Dade County'],['10.1007/s10530-019-01934-w'],@clements2019,gpt-5.6-luna,@clements2019,,['@clements2019'],"The paper explicitly repeats the 2017 surveys at the same sites, which match the listed Clements et al. (2019) study; the other cited works are not identified as findings this paper re-tests.",same as old
10.1177/027347538901100307,Test Item Arrangement and Student Performance in Principles of Marketing Examination: A Replication Study,10.1177/027347538600800306,Unconscious Biasing of Student Examination Scores: A Case of Sequential versus Random Information Retrieval,control,agrees_with_mo,['Unconscious biasing of student examination scores: a case of sequential versus random information retrieval'],['10.1177/027347538600800306'],@pettit1986,gpt-5.6-luna,@pettit1986,,['@pettit1986'],"The abstract identifies a replication of earlier research on question sequencing and exam performance, which matches Pettit et al. (1986) most specifically; the other cited works are not identified as the study being re-tested.",same as old
10.1210/jc.2009-0931,Independent Confirmation of Association between Metabolic Phenotypes of Polycystic Ovary Syndrome and Variation in the Type 6 17β-Hydroxysteroid Dehydrogenase Gene,10.1016/j.fertnstert.2006.04.027,Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome,control,agrees_with_mo,"['Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome', 'Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome']","['10.1016/j.fertnstert.2006.04.027', '10.1016/j.fertnstert.2006.04.027']",@jones2006,gpt-5.6-luna,@jones2006,,['@jones2006'],"The paper identifies a previous HSD17B6 association study as the replication target, matching Jones et al. (2006); the other listed works are cited for background, methods, or unrelated findings.",same as old
10.1080/09658211.2016.1189941,Assessing autobiographical memory: the web-based autobiographical Implicit Association Test,10.1111/j.1467-9280.2008.02156.x,How to Accurately Detect Autobiographical Events,control,agrees_with_mo,"['How to accurately detect autobiographical events', 'How to accurately detect autobiographical events']","['10.1111/j.1467-9280.2008.02156.x', '10.1111/j.1467-9280.2008.02156.x']",@sartori2008,gpt-5.6-luna,@sartori2008,,['@sartori2008'],"The abstract explicitly identifies Sartori et al. (2008), Experiment 1 as the replication target; other cited works are not stated to be re-tested.",same as old
10.1371/journal.pone.0137499,When Science Replaces Religion: Science as a Secular Authority Bolsters Moral Sensitivity,10.1371/journal.pone.0057989,Does “Science” Make You Moral? The Effects of Priming Science on Moral Judgments and Behavior,control,agrees_with_mo,"['Does ""science"" make you moral? The effects of priming science on moral judgments and behavior', 'Does ""science"" make you moral? The effects of priming science on moral judgments and behavior', 'Does ""science"" make you moral? The effects of priming science on moral judgments and behavior']","['10.1371/journal.pone.0057989', '10.1371/journal.pone.0057989', '10.1371/journal.pone.0057989']",@makellams2013,gpt-5.6-luna,@makellams2013,,['@makellams2013'],"The paper explicitly says it sought to replicate the science-priming effect on moral sensitivity, which matches the listed Ma-Kellams and Blascovich study; the other cited works are not identified as findings re-tested here.",same as old
10.1002/jae.2782,Replicating the Levitt and Porter estimates of drunk driving,10.1086/323281,How Dangerous Are Drinking Drivers?,control,agrees_with_mo,['How dangerous are drinking drivers?'],['10.1086/323281'],@levitt2001,gpt-5.6-luna,@levitt2001,,['@levitt2001'],The title and abstract identify Levitt and Porter’s estimates as the results being re-tested; the other listed works are not identified as targets.,same as old
10.1038/s41598-020-67455-y,Three visual working memory representations simultaneously control attention,10.1038/s41598-017-05865-1,Two visual working memory representations simultaneously control attention,control,agrees_with_mo,['Two visual working memory representations simultaneously control attention'],['10.1038/s41598-017-05865-1'],@chen2017,gpt-5.6-luna,@chen2017,,['@chen2017'],"The abstract explicitly says it successfully replicates the recent finding that two visual working memory representations can capture attention, which matches Chen and Du (2017); the other cited works are not identified as findings this paper re-tests.",same as old
10.1016/s0006-3223(98)00143-7,A replication study of violent and nonviolent subjects: cerebrospinal fluid metabolites of serotonin and dopamine are predicted by plasma essential fatty acids,10.1016/s0006-3223(98)00141-3,"Essential fatty acids predict metabolites of serotonin and dopamine in cerebrospinal fluid among healthy control subjects, and early- and late-onset alcoholics",control,agrees_with_mo,"['Essential fatty acids predict metabolites of serotonin and dopamine in cerebrospinal fluid among healthy control subjects, and early- and late-onset alcoholics']",['10.1016/s0006-3223(98)00141-3'],@hibbeln1998,gpt-5.6-luna,@hibbeln1998,,['@hibbeln1998'],The abstract explicitly identifies the Hibbeln et al. finding as the one being re-tested; the other listed works are not identified as targets.,same as old
10.1016/j.cortex.2018.05.013,Reaffirming the link between chronic phantom limb pain and maintained missing hand representation,10.1038/ncomms2571,Phantom pain is associated with preserved structure and function in the former hand area,control,agrees_with_mo,['Phantom pain is associated with preserved structure and function in the former hand area'],['10.1038/ncomms2571'],@makin2013,gpt-5.6-luna,@makin2013,,[],"The abstract explicitly identifies a re-tested previous result but gives no author, year, or title to match it to a specific listed record; other cited works are not stated to be re-tested.",declines
10.15195/v2.a20,The Missing Main Effect of Welfare State Regimes: A Replication of ‘Social Policy Responsiveness in Developed Democracies’ by Brooks and Manza,10.1177/000312240607100306,Social Policy Responsiveness in Developed Democracies,control,agrees_with_mo,['Social Policy Responsiveness in Developed Democracies'],['10.1177/000312240607100306'],@brooks2006,gpt-5.6-luna,@brooks2006,,['@brooks2006'],The title and abstract identify Brooks and Manza (2006) as the work being replicated; the other listed references are not identified as targets.,same as old
10.1038/s41398-024-02824-z,Decreased telomere length in a subgroup of young individuals with bipolar disorders: replication in the FACE-BD cohort and association with the shelterin component POT1,10.1038/s41398-022-01891-4,Telomere length and mitochondrial DNA copy number in bipolar disorder: identification of a subgroup of young individuals with accelerated cellular aging,control,agrees_with_mo,['Telomere length and mitochondrial DNA copy number in bipolar disorder: identification of a subgroup of young individuals with accelerated cellular aging'],['10.1038/s41398-022-01891-4'],@spano2022,gpt-5.6-luna,@spano2022,,['@spano2022'],"The paper says it replicates the previously identified subgroup observation, which matches Spano et al. (2022); the other listed works are not identified as findings re-tested here.",same as old
10.1111/j.1752-0606.2009.00164.x,The Effectiveness of couple therapy in Germany: A Replication Study,10.1037/0893-3200.11.4.410-421,The effectiveness of marital counseling in Germany: A contribution to health services research.,control,agrees_with_mo,['The effectiveness of marital counseling in Germany: A contribution to health services research'],['10.1037/0893-3200.11.4.410-421'],@hahlweg1997,gpt-5.6-luna,@hahlweg1997,,['@hahlweg1997'],The abstract explicitly identifies Hahlweg and Klann's 1997 study as the one whose findings are replicated; the other cited works are not identified as targets.,same as old
10.1101/2023.08.16.553472,Replication and Refinement of Brain Age Model for adolescent development,10.1109/embc46164.2021.9631007,Multimodal Brain Age Prediction with Feature Selection and Comparison,control,agrees_with_mo,['Multimodal brain age prediction with feature selection and comparison'],['10.1109/embc46164.2021.9631007'],@ray2021,gpt-5.6-luna,@ray2021,,[],"The abstract explicitly describes a direct replication of existing models, but does not name the original studies, so the cited background works cannot be assigned as targets.",declines
10.1177/03057356211031663,Small music ensemble and empathy: A replication study in a South Korean music student sample,10.1177/0305735619887226,The relationship between small music ensemble experience and empathy skill: A survey study,control,agrees_with_mo,['The relationship between small music ensemble experience and empathy skill: A survey study'],['10.1177/0305735619887226'],@cho2019,gpt-5.6-luna,@cho2019,,['@cho2019'],"The abstract explicitly says it replicates the initial US study, which matches Cho (2019); the other listed works are not identified as findings this paper re-tests.",same as old
10.1371/journal.pone.0091690,Functional Gene Group Analysis Indicates No Role for Heterotrimeric G Proteins in Cognitive Ability,10.1016/j.ajhg.2009.12.006,Functional Gene Group Analysis Reveals a Role of Synaptic Heterotrimeric G Proteins in Cognitive Ability,control,agrees_with_mo,['Functional gene group analysis reveals a role of synaptic heterotrimeric G proteins in cognitive ability'],['10.1016/j.ajhg.2009.12.006'],@ruano2010,gpt-5.6-luna,@ruano2010,,['@ruano2010'],"The paper explicitly re-tests the reported association between heterotrimeric G protein gene variation and intelligence, which matches Ruano et al. (2010); the other listed works are not identified as targets of this test.",same as old
10.1016/j.dib.2021.107595,"Replication dataset: the effect of compassion, biological sex, and gender identity threat on jerky choice",10.1016/j.appet.2021.105654,The taste of compassion: Influencing meat attitudes with interhuman and interspecies moral appeals,control,agrees_with_mo,['The taste of compassion: influencing meat attitudes with interhuman and interspecies moral appeals'],['10.1016/j.appet.2021.105654'],@pohlmann2021,gpt-5.6-luna,@pohlmann2021,,['@pohlmann2021'],"The abstract explicitly says the dataset re-tests Study 1 of Pohlmann (2021), while the other listed works are not identified as targets of this replication.",same as old
10.1080/1612197x.2019.1637362,Enhanced expectancies in golf putting – a replication study with increased ecological validity,10.1016/j.psychsport.2018.10.003,Enhanced or diminished expectancies in golf putting – Which actually affects performance?,control,agrees_with_mo,['Enhanced or diminished expectancies in golf putting - which actually affects performance?'],['10.1016/j.psychsport.2018.10.003'],@ziv2018,gpt-5.4-mini,@ziv2018,,['@ziv2018'],"The paper explicitly identifies the Ziv, Ochayon, and Lidor study as its replication target; the other cited works are not identified as findings being re-tested.",same as old
10.1590/1516-3180.2017.0015240217,Age at first childbirth and newly diagnosed diabetes among postmenopausal women: a cross-sectional analysis of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),10.2337/dc13-1784,Impact of Age at First Childbirth on Glucose Tolerance Status in Postmenopausal Women: The 2008–2011 Korean National Health and Nutrition Examination Survey,control,agrees_with_mo,['Impact of age at first childbirth on glucose tolerance status in postmenopausal women: the 2008-2011 Korean National Health and Nutrition Examination Survey'],['10.2337/dc13-1784'],@kim2013,gpt-5.6-luna,@kim2013,,['@kim2013'],"The paper explicitly tests the previously reported age-at-first-childbirth association, which matches the listed Kim et al. record; the other listed works concern background, cohort design, or different reproductive factors.",same as old
10.1159/000117595,Application of Cluster Analysis in the Classification of Depression,10.1192/bjp.118.544.275,Classification of Depressed Patients: A Cluster Analysis Derived Grouping,control,agrees_with_mo,['Classification of depressed patients: a cluster analysis derived grouping'],['10.1192/bjp.118.544.275'],@paykel1971,gpt-5.6-luna,@paykel1971,,['@paykel1971'],"The abstract identifies a replicated four-group cluster-analytic typology, which matches Paykel’s listed 1971 classification paper; the other cited works are not identified as the finding being re-tested.",same as old
