doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,rewrite,rewritable,renamed_keys,mo_key,error,new_keys,new_reasoning,result
10.1371/journal.pone.0124170,A Cross-Cultural Perspective on the Preference for Potential Effect: An Individual Participant Data (IPD) Meta-Analysis Approach,10.1037/a0029227,The preference for potential.,control,agrees_with_mo,['The preference for potential'],['10.1037/a0029227'],@tormala2012,gpt-5.6-luna,exact,True,2,@tormala2012,,['@tormala2012'],The paper explicitly says it replicated Tormala et al. (2012) and reports that effect as robust; other cited works are not identified as findings re-tested here.,same as old
10.3389/fnhum.2013.00817,Functional diffusion tensor imaging at 3 Tesla,10.1371/journal.pone.0003631,Functional Diffusion Tensor Imaging: Measuring Task-Related Fractional Anisotropy Changes in the Human Brain along White Matter Tracts,control,agrees_with_mo,['Functional diffusion tensor imaging: measuring task-related fractional anisotropy changes in the human brain along white matter tracts'],['10.1371/journal.pone.0003631'],@mandl2008,gpt-5.6-luna,exact,True,0,@mandl2008,,['@mandl2008'],"The abstract explicitly identifies the earlier fDTI findings as the target, and Mandl et al. (2008) is the sole listed record matching the described tract-based functional diffusion tensor imaging study; the other cited works are not identified as findings re-tested here.",same as old
10.2478/jagi-2018-0001,Towards General Evaluation of Intelligent Systems: Lessons Learned from Reproducing AIQ Test Results,10.1007/978-3-642-44958-1_18,An Approximation of the Universal Intelligence Measure,control,agrees_with_mo,"['An approximation of the universal intelligence measure', 'An approximation of the universal intelligence measure', 'An approximation of the universal intelligence measure']","['10.1007/978-3-642-44958-1_18', '10.1007/978-3-642-44958-1_18', '10.1007/978-3-642-44958-1_18']",@legg2013,gpt-5.6-luna,exact,True,1,@legg2013,,['@legg2013'],Legg and Veness are explicitly identified as the source of the results being replicated; the other cited works are not identified as findings this paper re-tests.,same as old
10.1016/j.ctim.2023.102965,A replication study of a psychotherapy incorporating horses resiliency intervention for healthcare workers,10.1016/j.ctcp.2022.101660,A pilot observational study of a psychotherapy incorporating equines resiliency intervention for staff at a large medical center,control,agrees_with_mo,['A pilot observational study of a psychotherapy incorporating equines resiliency intervention for staff at a large medical center'],['10.1016/j.ctcp.2022.101660'],@marchand2022_2,gpt-5.4-mini,older_block,True,2,@marchand2022_2,,['@marchand2022_2'],"The paper explicitly says it replicates a previous PIH intervention study for healthcare workers, which matches the listed Marchand et al. (2022) study; the other cited works are not identified as findings this paper re-tests.",same as old
10.1093/schizbullopen/sgaa009,Replication of Associations With Psychotic-Like Experiences in Middle Childhood From the Adolescent Brain Cognitive Development (ABCD) Study,10.1001/jamapsychiatry.2018.1334,Assessment of the Prodromal Questionnaire–Brief Child Version for Measurement of Self-reported Psychoticlike Experiences in Childhood,control,agrees_with_mo,['Assessment of the prodromal questionnaire-brief child version for measurement of self-reported psychotic-like experiences in childhood'],['10.1001/jamapsychiatry.2018.1334'],@karcher2018,gpt-5.6-luna,exact,True,4,,,['@karcher2018'],"The paper explicitly re-tests prior construct-validity and psychometric findings for the PQ-BC, matching the listed Karcher et al. (2018) assessment study; other cited works provide background or measures rather than being re-tested originals.",same as old
10.1534/genetics.106.067108,How Repeatable Are Associations Between Polymorphisms in <i>achaete–scute</i> and Bristle Number Variation in Drosophila?,10.1093/genetics/154.3.1255,Both Naturally Occurring Insertions of Transposable Elements and Intermediate Frequency Polymorphisms at the achaete-scute Complex Are Associated With Variation in Bristle Number in Drosophila melanogaster,control,agrees_with_mo,['Both naturally occurring insertions of transposable elements and intermediate frequency polymorphisms at the achaete-scute complex are associated with variation in bristle number in Drosophila melanogaster'],['10.1093/genetics/154.3.1255'],@long2000,gpt-5.6-luna,exact,True,3,@long2000,,['@long2000'],"The paper explicitly says it replicated the previously reported MC22–bristle-number association, which matches the listed Long et al. study; other cited works are not identified as findings re-tested here.",same as old
10.1002/jae.3021,Does paid parental leave affect children's schooling outcomes? Replicating Danzer and Lavy (2018),10.1111/ecoj.12493,Paid Parental Leave and Children's Schooling Outcomes,control,agrees_with_mo,"[""Paid parental leave and children's schooling outcomes""]",['10.1111/ecoj.12493'],@danzer2017,gpt-5.6-luna,exact,True,0,@danzer2017,,[],"The paper explicitly says it replicates Danzer and Lavy (2018), but the only listed candidate is dated 2017, so the supplied evidence does not establish that it is the same published record.",declines
10.3389/fendo.2020.00231,Avoidance Learning Across the Menstrual Cycle: A Conceptual Replication,10.1016/j.neuropsychologia.2015.10.016,Menstrual cycle phase modulates reward sensitivity and performance monitoring in young women: Preliminary fMRI evidence,control,agrees_with_mo,['Menstrual cycle phase modulates reward sensitivity and performance monitoring in young women: preliminary FMRI evidence'],['10.1016/j.neuropsychologia.2015.10.016'],@diekhof2015,gpt-5.6-luna,exact,True,0,@diekhof2015,,[],"The paper explicitly identifies Diekhof and Ratnayake (2016) as the study being conceptually replicated, while the supplied matched-work list contains only a different Diekhof and Ratnayake (2015) paper, so no listed record can be matched with certainty.",declines
10.1371/journal.pone.0233948,The President’s Emergency Plan for AIDS Relief and adult mortality: A replication study of HIV development assistance effects in Sub-Saharan African countries,10.1001/jama.2012.2001,HIV Development Assistance and Adult Mortality in Africa,control,agrees_with_mo,"['HIV development assistance and adult mortality in Africa', 'HIV development assistance and adult mortality in Africa']","['10.1001/jama.2012.2001', '10.1001/jama.2012.2001']",@bendavid2012,gpt-5.6-luna,exact,True,1,@bendavid2012,,['@bendavid2012'],"The paper explicitly says it replicated Bendavid; Duber is discussed as a comparator, while the analysis applies Bendavid’s methods to Duber’s time period rather than re-testing Duber’s own study.",same as old
10.18632/oncotarget.9422,NEURL rs6584555 and CAND2 rs4642101 contribute to postoperative atrial fibrillation: a prospective study among Chinese population,10.1161/circulationaha.114.009892,"Integrating Genetic, Transcriptional, and Functional Analyses to Identify 5 Novel Genes for Atrial Fibrillation",control,agrees_with_mo,"['Integrating genetic, transcriptional, and functional analyses to identify 5 novel genes for atrial fibrillation']",['10.1161/circulationaha.114.009892'],@sinner2014,gpt-5.6-luna,exact,True,0,@sinner2014,,['@sinner2014'],The paper tests the previously reported five-locus atrial-fibrillation findings and explicitly says it replicated them; the other cited works are not identified as findings re-tested here.,same as old
10.1002/art.30604,A putative functional variant within the <i>UBAC2</i> gene is associated with increased risk of Behçet's disease,10.1186/ar2695,Identification of novel genetic susceptibility loci for Behçet's disease using a genome-wide association study,control,agrees_with_mo,"[""Identification of novel genetic susceptibility loci for Behcet's disease using a genome-wide association study""]",['10.1186/ar2695'],@fei2009,gpt-5.6-luna,exact,True,0,@fei2009,,['@fei2009'],"The paper says it replicated the UBAC2 association from its prior genome-wide association work, which matches Fei et al. (2009); the other listed studies are not identified as the association being re-tested.",same as old
10.1177/1747021820980301,"Stimulus novelty, task demands, and strategy use in episodic memory",10.1016/j.actpsy.2020.103211,Spontaneous strategy use during a working memory updating task,control,agrees_with_mo,['Spontaneous strategy use during a working memory updating task'],['10.1016/j.actpsy.2020.103211'],@waris2020,gpt-5.6-luna,exact,True,0,@waris2020,,['@waris2020'],"The abstract explicitly says it replicates earlier findings from an adaptive working memory task, which uniquely matches the listed Waris et al. (2020) study; other cited works are not identified as re-tested.",same as old
10.1111/j.1476-5381.2009.00584.x,Lack of effect of the α<sub>2C</sub>‐adrenoceptor Del322‐325 polymorphism on inhibition of cyclic AMP production in HEK293 cells,10.1074/jbc.m000796200,A Four Amino Acid Deletion Polymorphism in the Third Intracellular Loop of the Human α2C-Adrenergic Receptor Confers Impaired Coupling to Multiple Effectors,control,agrees_with_mo,['A four amino acid deletion polymorphism in the third intracellular loop of the human alpha 2C-adrenergic receptor confers impaired coupling to multiple effectors'],['10.1074/jbc.m000796200'],@small2000,gpt-5.6-luna,exact,True,1,@small2000,,['@small2000'],"The paper explicitly re-tests the reduced-signalling result in CHO cells, which matches Small et al. (2000); the other cited works are not identified as findings being re-tested.",same as old
10.1371/journal.pone.0114614,Replication Attempt: “Effect of BMAP-28 Antimicrobial Peptides on Leishmania Major Promastigote and Amastigote Growth: Role of Leishmanolysin in Parasite Survival”,10.1371/journal.pntd.0001141,Effect of BMAP-28 Antimicrobial Peptides on Leishmania major Promastigote and Amastigote Growth: Role of Leishmanolysin in Parasite Survival,control,agrees_with_mo,['Effect of BMAP-28 antimicrobial peptides on Leishmania major promastigote and amastigote growth: role of leishmanolysin in parasite survival'],['10.1371/journal.pntd.0001141'],@lynn2011,gpt-5.4-mini,older_block,True,0,@lynn2011,,['@lynn2011'],The paper explicitly says it attempts to replicate the experiments in the named Lynn et al. paper; the other cited works are not identified as findings re-tested here.,same as old
10.1016/j.biopsycho.2021.108188,To spindle or not to spindle: A replication study into spindling excessive beta as a transdiagnostic EEG feature associated with impulse control,10.1186/s40810-015-0005-9,"Sleep maintenance, spindling excessive beta and impulse control: an RDoC arousal and regulatory systems approach?",control,agrees_with_mo,"['Sleep maintenance, spindling excessive beta and impulse control: An RDoC arousal and regulatory systems approach?', 'Sleep maintenance, spindling excessive beta and impulse control: An RDoC arousal and regulatory systems approach?']","['10.1186/s40810-015-0005-9', '10.1186/s40810-015-0005-9']",@arns2015_2,gpt-5.6-luna,exact,True,2,@arns2015_2,,['@arns2015_2'],"The paper says it replicates the earlier SEB findings, which uniquely match Arns et al. (2015), while the other listed works are not identified as findings this paper re-tests.",same as old
10.1007/s40264-014-0138-y,Exposure to Oral Fluoroquinolones and the Risk of Retinal Detachment: Retrospective Analyses of Two Large Healthcare Databases,10.1001/jama.2012.383,Oral Fluoroquinolones and the Risk of Retinal Detachment,control,agrees_with_mo,['Oral fluoroquinolones and the risk of retinal detachment'],['10.1001/jama.2012.383'],@forooghian2012,gpt-5.6-luna,exact,True,1,@forooghian2012,,['@forooghian2012'],"The paper explicitly re-tests the Canadian case-control finding, which matches the listed Forooghian record; the other cited works are not identified as findings this paper re-tests.",same as old
10.1007/s00221-023-06688-5,Temporal adaptation of sensory attenuation for self-touch,10.7554/elife.42888,Rapid learning and unlearning of predicted sensory delays in self-generated touch,control,agrees_with_mo,['Rapid learning and unlearning of predicted sensory delays in self-generated touch'],['10.7554/elife.42888'],@kilteni2019,gpt-5.6-luna,exact,True,0,@kilteni2019,,['@kilteni2019'],Only the Kilteni et al. experiment is explicitly described as replicated; the other cited works are not identified as findings re-tested in this paper.,same as old
10.1002/ab.70042,The Question of Violent Video Games and Aggression: Testing Statistical and Methodological Issues of Null Effects Using Data From an Open‐Access Case Study,10.1098/rsos.171474,Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report,control,agrees_with_mo,"[""Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report""]",['10.1098/rsos.171474'],@przybylski2019,gpt-5.6-luna,exact,True,1,@przybylski2019,,['@przybylski2019'],The paper explicitly re-examines Przybylski and Weinstein (2019); its other cited works provide background or methodological context rather than findings this paper re-tests.,same as old
10.1007/s00221-024-06846-3,The inhibitory effect of a recent distractor: singleton vs. multiple distractors,10.1016/j.visres.2005.07.024,The inhibitory effect of a recent distracter,control,agrees_with_mo,"['The inhibitory effect of a recent distractor', 'The inhibitory effect of a recent distractor', 'The inhibitory effect of a recent distractor']","['10.1016/j.visres.2005.07.024', '10.1016/j.visres.2005.07.024', '10.1016/j.visres.2005.07.024']",@crawford2005_2,gpt-5.6-luna,exact,True,2,,,['@crawford2005_2'],"The paper explicitly says it aimed to replicate the effect attributed to Crawford et al. (2005a), and the listed Crawford record titled The inhibitory effect of a recent distracter matches that finding; the other cited works provide background or address different findings.",same as old
10.1371/journal.pone.0171305,Mapping cerebral pulse pressure and arterial compliance over the adult lifespan with optical imaging,10.1111/psyp.12288,Taking the pulse of aging: Mapping pulse pressure and elasticity in cerebral arteries with optical methods,control,agrees_with_mo,"['Taking the pulse of aging: mapping pulse pressure and elasticity in cerebral arteries with optical methods', 'Taking the pulse of aging: mapping pulse pressure and elasticity in cerebral arteries with optical methods']","['10.1111/psyp.12288', '10.1111/psyp.12288']",@fabiani2014,gpt-5.6-luna,exact,True,1,@fabiani2014,,['@fabiani2014'],"The abstract identifies one set of initial findings that this study replicates, matching the listed Fabiani et al. (2014) optical-imaging paper; the other listed works are not identified as findings re-tested.",same as old
10.1001/archoto.2009.219,"Association of IL1A, IL1B, and TNF Gene Polymorphisms With Chronic Rhinosinusitis With and Without Nasal Polyposis",10.1001/archotol.133.7.705,Proinflammatory Cytokine Single Nucleotide Polymorphisms in Nasal Polyposis,control,agrees_with_mo,"['Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis', 'Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis', 'Proinflammatory cytokine single nucleotide polymorphisms in nasal polyposis']","['10.1001/archotol.133.7.705', '10.1001/archotol.133.7.705', '10.1001/archotol.133.7.705']",@erbek2007,gpt-5.6-luna,exact,True,0,@erbek2007,,['@erbek2007'],"The paper identifies its target as findings from a Turkish population, matching the listed Erbek et al. nasal-polyposis study; other cited works are not identified as findings this paper re-tests.",same as old
10.7759/cureus.42194,"Neonatal, Infant, and Under Age Five Vaccine Doses Routinely Given in Developed Nations and Their Association With Mortality Rates",10.1177/0960327111407644,Infant mortality rates regressed against number of vaccine doses routinely given: Is there a biochemical or synergistic toxicity?,control,agrees_with_mo,['Infant mortality rates regressed against number of vaccine doses routinely given: is there a biochemical or synergistic toxicity?'],['10.1177/0960327111407644'],@miller2011,gpt-5.6-luna,exact,True,1,@miller2011,,['@miller2011'],The paper explicitly says it replicated its own 2011 study using new data; the other cited works are not identified as findings this paper re-tests.,same as old
10.1080/036107399244020,Genetic and Environmental Influences on Forced Expiratory Volume in Midlife: A Cross-Cultural Replication,10.1093/geronj/49.6.m264,Genetic and Environmental Influences on Pulmonary Function in Aging Swedish Twins,control,agrees_with_mo,['Genetic and environmental influences on pulmonary function in aging Swedish twins'],['10.1093/geronj/49.6.m264'],@mcclearn1994,gpt-5.6-luna,exact,True,0,@mcclearn1994,,['@mcclearn1994'],"The paper explicitly re-tests the Swedish-twin heritability finding, which matches McClearn et al. (1994); the other cited works are background, methods, or related research rather than findings this paper says it re-tests.",same as old
10.1080/08964289.2016.1232241,Replication and Extension of the Weight Loss For Life Community-Based Treatment Protocol,10.7812/tpp/15-146,Weight Loss and the Prevention of Weight Regain: Evaluation of a Treatment Model of Exercise Self-Regulation Generalizing to Controlled Eating,control,agrees_with_mo,['Weight loss and the prevention of weight regain: evaluation of a treatment model of exercise self-regulation generalizing to controlled eating'],['10.7812/tpp/15-146'],@annesi2016,gpt-5.4-mini,exact,True,2,@annesi2016,,['@annesi2016'],"The abstract explicitly says the phase 2 treatment contrasts the weight-loss and maintenance outcomes of the phase 1 curriculum, which matches the listed Annesi et al. treatment-model paper; the other cited works are not identified as the finding being re-tested.",same as old
10.1158/1055-9965.epi-11-0053,Prostate Cancer Susceptibility Polymorphism rs2660753 Is Not Associated with Invasive Ovarian Cancer,10.1158/0008-5472.can-08-2363,"Association Study of Prostate Cancer Susceptibility Variants with Risks of Invasive Ovarian, Breast, and Colorectal Cancer",control,agrees_with_mo,"['Association study of prostate cancer susceptibility variants with risks of invasive ovarian, breast, and colorectal cancer']",['10.1158/0008-5472.can-08-2363'],@song2008,gpt-5.6-luna,exact,True,0,@song2008,,['@song2008'],"The paper explicitly re-tests its previously reported rs2660753–EOC association, which matches the listed Song et al. study; the other listed works are cited for background or related genetic findings.",same as old
10.1002/aur.1857,Genetic background effects in Neuroligin‐3 mutant mice: Minimal behavioral abnormalities on C57 background,10.1126/science.1146221,A Neuroligin-3 Mutation Implicated in Autism Increases Inhibitory Synaptic Transmission in Mice,control,agrees_with_mo,"['A neuroligin-3 mutation implicated in autism increases inhibitory synaptic transmission in mice', 'A neuroligin-3 mutation implicated in autism increases inhibitory synaptic transmission in mice']","['10.1126/science.1146221', '10.1126/science.1146221']",@tabuchi2007,gpt-5.6-luna,exact,True,6,@tabuchi2007,,['@tabuchi2007'],"The paper directly identifies Tabuchi et al.'s findings as the findings being replicated and tested across genetic backgrounds; the independently generated line is presented as context for the discrepancy, not as a clearly stated re-test target.",same as old
10.1080/02699050600744194,Context-sensitive cognitive-behavioural supports for young children with TBI: A replication study,10.1097/00001199-200301000-00006,Context-Sensitive Behavioral Supports for Young Children with TBI,control,agrees_with_mo,['Context-sensitive behavioral supports for young children with TBI: Short-term effects and long-term outcome'],['10.1097/00001199-200301000-00006'],@feeney2003,gpt-5.6-luna,exact,True,5,@feeney2003,,['@feeney2003'],"The abstract identifies a replication of the multicomponent intervention and calls it a positive replication; the listed Feeney and Ylvisaker (2003) work is the matching investigation, while other cited works are background or methodological sources.",same as old
10.1111/jpr.12581,Cultural Generalizability of the False Signaling Theory: A Replication Study Using a Japanese Sample,10.1177/0956797616685771,Why Do We Hate Hypocrites? Evidence for a Theory of False Signaling,control,agrees_with_mo,"['Why do we hate hypocrites? Evidence for a theory of false signaling', 'Why do we hate hypocrites? Evidence for a theory of false signaling']","['10.1177/0956797616685771', '10.1177/0956797616685771']",@jordan2017,gpt-5.6-luna,exact,True,0,@jordan2017,,['@jordan2017'],"The abstract explicitly says it replicated two experiments testing the false signaling theory, which matches Jordan et al. (2017); the other listed works are not identified as findings this paper re-tested.",same as old
10.1111/jns.12110,Genetic determinants of chronic oxaliplatin‐induced peripheral neurotoxicity: a genome‐wide study replication and meta‐analysis,10.1002/cncr.26614,"Polymorphic markers associated with severe oxaliplatin‐induced, chronic peripheral neuropathy in colon cancer patients",control,agrees_with_mo,"['Polymorphic markers associated with severe oxaliplatin-induced, chronic peripheral neuropathy in colon cancer patients']",['10.1002/cncr.26614'],@won2011,gpt-5.6-luna,exact,True,0,@won2011,,['@won2011'],"The paper says it validates variants identified by a recent GWAS, which matches the listed Won et al. study; references to other studies as sources of data for a combined analysis do not by themselves establish that their findings are separately re-tested.",same as old
10.1186/s13148-022-01296-6,"Maternal epigenetic clocks measured during pregnancy do not predict gestational age at delivery or offspring birth outcomes: a replication study in metropolitan Cebu, Philippines",10.1186/s13148-020-00909-2,Epigenetic age and pregnancy outcomes: GrimAge acceleration is associated with shorter gestational length and lower birthweight,control,agrees_with_mo,['Epigenetic age and pregnancy outcomes: GrimAge acceleration is associated with shorter gestational length and lower birthweight'],['10.1186/s13148-020-00909-2'],@ross2020,gpt-5.6-luna,exact,True,1,@ross2020,,['@ross2020'],"The paper says it re-tests a series of analyses from a US-based sample, and the listed Ross study uniquely concerns epigenetic age and both gestational length and birthweight; the other cited works are not identified as the analyses being re-tested.",same as old
10.1177/074823370001600604,The neurotoxic etiology of the autistic spectrum disorders: a replication study,10.1177/074823379801400603,Autism: Xenobiotic Influences,control,agrees_with_mo,['Autism: xenobiotic influences'],['10.1177/074823379801400603'],@edelson1998,gpt-5.6-luna,exact,True,0,@edelson1998,,['@edelson1998'],The abstract explicitly identifies Edelson and Cantor’s study as the finding re-tested; the other cited works are not described as targets of this replication.,same as old
10.1080/19439342.2019.1679860,Improving well-being through mobile money: a replication study in Niger,10.1086/687578,Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash Transfer Experiment in Niger,control,agrees_with_mo,['Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash Transfer Experiment in Niger'],['10.1086/687578'],@aker2016,gpt-5.4-mini,older_block,True,0,@aker2016,,['@aker2016'],"The abstract explicitly says this replication examined the original authors’ findings on Zap delivery in Niger, matching the listed Aker et al. study; the other references are not identified as findings re-tested.",same as old
10.1038/s41598-020-57613-7,How odor cues help to optimize learning during sleep in a real life-setting,10.1126/science.1138581,Odor Cues During Slow-Wave Sleep Prompt Declarative Memory Consolidation,control,agrees_with_mo,['Odor cues during slow-wave sleep prompt declarative memory consolidation'],['10.1126/science.1138581'],@rasch2007,gpt-5.6-luna,exact,True,1,@rasch2007,,['@rasch2007'],"The abstract identifies the selectively timed odor-cueing result as the finding being replicated, which matches Rasch et al. (2007); the other listed works are not specifically identified as re-tested.",same as old
10.1002/ar.1091570205,A double replication of a “small‐sample” study of the sexual behavior of DBA/2J male mice,10.1163/156853962x00087,Sexual Behavior in Three Inbred Strains of Mice,control,agrees_with_mo,"['Sexual behavior in three inbred strains of mice', 'Sexual behavior in three inbred strains of mice']","['10.1163/156853962x00087', '10.1163/156853962x00087']",@mcgill1962,gpt-5.6-luna,exact,True,0,@mcgill1962,,['@mcgill1962'],"The title and abstract identify a re-test of the original mouse-behavior study, which matches McGill (1962); the other listed works concern statistical methods rather than the finding being re-tested.",same as old
10.1145/2676467.2676484,Replicating a study of collaborative use of mobile phones for photo sharing in a different cultural context,10.1145/1978942.1979201,Pass-them-around,control,agrees_with_mo,['Pass-them-around: collaborative use of mobile phones for photo sharing'],['10.1145/1978942.1979201'],@lucero2011,gpt-5.6-luna,exact,True,0,,,['@lucero2011'],"The paper says it replicates a study of collaborative photo sharing with collocated mobile-phone users, which matches Lucero et al.'s listed Pass-them-around; the other cited works are not identified as targets.",same as old
10.1080/00220388.2018.1506580,"Evidence of Behavioural Compensation in Internal Replication Study of Male Circumcision Trial to Reduce HIV Acquisition in Kisumu, Kenya",10.1016/s0140-6736(07)60312-2,"Male circumcision for HIV prevention in young men in Kisumu, Kenya: a randomised controlled trial",control,agrees_with_mo,"['Male circumcision for HIV prevention in young men in Kisumu, Kenya: a randomised controlled trial']",['10.1016/s0140-6736(07)60312-2'],@bailey2007,gpt-5.6-luna,exact,True,1,@bailey2007,,['@bailey2007'],"The paper explicitly says it replicated the named Bailey et al. trial; the other cited works are background or related studies, not findings this paper says it re-tested.",same as old
10.1002/ece3.71556,Non‐Native Herpetofauna Continue to Proliferate in the World's Most Invaded Herpetofauna Community,10.1007/s10530-019-01934-w,Non-native species dominate herpetofaunal community patterns in both native and non-native habitat patches in urban Miami-Dade County,control,agrees_with_mo,['Non-native species dominate herpetofaunal community patterns in both native and non-native habitat patches in urban Miami-Dade County'],['10.1007/s10530-019-01934-w'],@clements2019,gpt-5.6-luna,exact,True,0,@clements2019,,['@clements2019'],"The paper explicitly repeats the 2017 surveys at the same sites, and Clements et al. (2019) is the listed study matching those surveys; other cited works are not identified as the surveys being repeated.",same as old
10.1177/027347538901100307,Test Item Arrangement and Student Performance in Principles of Marketing Examination: A Replication Study,10.1177/027347538600800306,Unconscious Biasing of Student Examination Scores: A Case of Sequential versus Random Information Retrieval,control,agrees_with_mo,['Unconscious biasing of student examination scores: a case of sequential versus random information retrieval'],['10.1177/027347538600800306'],@pettit1986,gpt-5.6-luna,exact,True,0,@pettit1986,,['@pettit1986'],"The abstract identifies one re-tested earlier finding, and Pettit et al. (1986) is the listed record that specifically concerns student examination scores and sequential versus random information retrieval; the other listed item-order works are not identified as the study being re-tested.",same as old
10.1210/jc.2009-0931,Independent Confirmation of Association between Metabolic Phenotypes of Polycystic Ovary Syndrome and Variation in the Type 6 17β-Hydroxysteroid Dehydrogenase Gene,10.1016/j.fertnstert.2006.04.027,Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome,control,agrees_with_mo,"['Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome', 'Polymorphism in HSD17B6 is associated with key features of polycystic ovary syndrome']","['10.1016/j.fertnstert.2006.04.027', '10.1016/j.fertnstert.2006.04.027']",@jones2006,gpt-5.6-luna,exact,True,0,@jones2006,,['@jones2006'],"The paper explicitly re-tests the previous HSD17B6 association finding, which matches Jones et al. (2006); its other cited works provide background or methods rather than findings being re-tested.",same as old
10.1080/09658211.2016.1189941,Assessing autobiographical memory: the web-based autobiographical Implicit Association Test,10.1111/j.1467-9280.2008.02156.x,How to Accurately Detect Autobiographical Events,control,agrees_with_mo,"['How to accurately detect autobiographical events', 'How to accurately detect autobiographical events']","['10.1111/j.1467-9280.2008.02156.x', '10.1111/j.1467-9280.2008.02156.x']",@sartori2008,gpt-5.6-luna,exact,True,3,@sartori2008,,['@sartori2008'],"Experiment 1 is explicitly identified as a replication of Sartori et al. (2008), Experiment 1; the other cited works are not identified as findings this paper re-tests.",same as old
10.1371/journal.pone.0137499,When Science Replaces Religion: Science as a Secular Authority Bolsters Moral Sensitivity,10.1371/journal.pone.0057989,Does “Science” Make You Moral? The Effects of Priming Science on Moral Judgments and Behavior,control,agrees_with_mo,"['Does ""science"" make you moral? The effects of priming science on moral judgments and behavior', 'Does ""science"" make you moral? The effects of priming science on moral judgments and behavior', 'Does ""science"" make you moral? The effects of priming science on moral judgments and behavior']","['10.1371/journal.pone.0057989', '10.1371/journal.pone.0057989', '10.1371/journal.pone.0057989']",@makellams2013,gpt-5.6-luna,exact,True,0,@makellams2013,,['@makellams2013'],"The abstract says the studies sought to replicate the science-priming effect, which uniquely matches the listed Ma-Kellams and Blascovich paper; the other cited works are not identified as findings this paper re-tests.",same as old
10.1002/jae.2782,Replicating the Levitt and Porter estimates of drunk driving,10.1086/323281,How Dangerous Are Drinking Drivers?,control,agrees_with_mo,['How dangerous are drinking drivers?'],['10.1086/323281'],@levitt2001,gpt-5.6-luna,exact,True,0,@levitt2001,,['@levitt2001'],The title and abstract identify Levitt and Porter’s estimates as the replication target; other listed works are not described as findings this paper re-tests.,same as old
10.1038/s41598-020-67455-y,Three visual working memory representations simultaneously control attention,10.1038/s41598-017-05865-1,Two visual working memory representations simultaneously control attention,control,agrees_with_mo,['Two visual working memory representations simultaneously control attention'],['10.1038/s41598-017-05865-1'],@chen2017,gpt-5.6-luna,exact,True,1,@chen2017,,['@chen2017'],"The abstract explicitly says it replicates the two-representation finding, which matches Chen and Du (2017); the other listed works are not identified as findings this paper re-tests.",same as old
10.1016/s0006-3223(98)00143-7,A replication study of violent and nonviolent subjects: cerebrospinal fluid metabolites of serotonin and dopamine are predicted by plasma essential fatty acids,10.1016/s0006-3223(98)00141-3,"Essential fatty acids predict metabolites of serotonin and dopamine in cerebrospinal fluid among healthy control subjects, and early- and late-onset alcoholics",control,agrees_with_mo,"['Essential fatty acids predict metabolites of serotonin and dopamine in cerebrospinal fluid among healthy control subjects, and early- and late-onset alcoholics']",['10.1016/s0006-3223(98)00141-3'],@hibbeln1998,gpt-5.6-luna,exact,True,1,@hibbeln1998,,['@hibbeln1998'],"The abstract explicitly says it re-tests the negative DHA–CSF 5-HIAA correlation, which matches Hibbeln et al. (1998); the other cited works are not identified as findings this paper re-tests.",same as old
10.1016/j.cortex.2018.05.013,Reaffirming the link between chronic phantom limb pain and maintained missing hand representation,10.1038/ncomms2571,Phantom pain is associated with preserved structure and function in the former hand area,control,agrees_with_mo,['Phantom pain is associated with preserved structure and function in the former hand area'],['10.1038/ncomms2571'],@makin2013,gpt-5.6-luna,exact,True,2,@makin2013,,['@makin2013'],"The abstract explicitly re-tests the authors’ prior result linking chronic PLP to maintained missing-hand representation, which matches Makin et al. (2013); the other listed works are not identified as the result being re-tested.",same as old
10.15195/v2.a20,The Missing Main Effect of Welfare State Regimes: A Replication of ‘Social Policy Responsiveness in Developed Democracies’ by Brooks and Manza,10.1177/000312240607100306,Social Policy Responsiveness in Developed Democracies,control,agrees_with_mo,['Social Policy Responsiveness in Developed Democracies'],['10.1177/000312240607100306'],@brooks2006,gpt-5.6-luna,exact,True,4,@brooks2006,,['@brooks2006'],The title and abstract explicitly identify Brooks and Manza’s 2006 article as the work being replicated; the other listed works are not identified as re-tested.,same as old
10.1038/s41398-024-02824-z,Decreased telomere length in a subgroup of young individuals with bipolar disorders: replication in the FACE-BD cohort and association with the shelterin component POT1,10.1038/s41398-022-01891-4,Telomere length and mitochondrial DNA copy number in bipolar disorder: identification of a subgroup of young individuals with accelerated cellular aging,control,agrees_with_mo,['Telomere length and mitochondrial DNA copy number in bipolar disorder: identification of a subgroup of young individuals with accelerated cellular aging'],['10.1038/s41398-022-01891-4'],@spano2022,gpt-5.6-luna,exact,True,2,@spano2022,,['@spano2022'],"The paper says it replicates the previously identified subgroup finding, which matches the listed Spano et al. (2022) paper on identifying that subgroup; the other cited works are not presented as findings this paper re-tests.",same as old
